filename,num_pages
Characterization of carbon nanotube filters and other carbonaceous materials by Raman spectroscopy—II study on dispersion and disorder parameters.pdf,9
Jorio_2003_New_J._Phys._5_139.pdf,18
PhysRevB.61.14095_b_wazna.pdf,13
porównaine dwa lasery.pdf,10
R1.pdf,10
R10 A correlated method for quantifying mixed and.pdf,9
R11 Jorio_2003_New_J._Phys._5_139.pdf,18
R12.pdf,53
R13 Evaluating the characteristics of multiwall carbon nanotubes.pdf,22
R14.pdf,4
R15.pdf,13
R16 Raman spectroscopy on isolated single wall carbon nanotubes.pdf,19
R17 stubrov2016.pdf,5
R18.pdf,4
R4 [XPS-2] sementyt.pdf,7
R5.pdf,9
R7.pdf,16
R8.pdf,14
R9 The big picture of Raman scattering in carbon nanotubes.pdf,11
Raman scattering in carbon nanotubes revisited.pdf,4
Raman spectroscopy of carbon nanotubes.pdf,53
rozmiary sprawdzić.pdf,6
Saito_2003_New_J._Phys._5_157.pdf,16
Smallest Freestanding Single-Walled Carbon Nanotube.pdf,3
Widma_Ramana_MWCNTs_SStrzelec.pdf,3
wiązie wodorowe !.pdf,13
www.scientific.net%2FSSP.99-100.265.pdf,5
